D0000042509167||2021년 제1회 서대문구 보상협의회 개최 결과 보고  일시 : 2021. 4. 29.(목) ~ 5. 4.(화)  심의위원 : 서대문구 보상협의회 위원 12명  심의방법 : 서면심의  심의안건 1) 판결(부당이득금 소송)에 따른 도로사용료 납부 토지의 매입 결정 2) 도시계획시설사업 구간 외 잔여지 등의 확대보상 여부  심의결과 ❍ 심의안건 : 2건
515820_2||습지는 생물다양성의 보고…생물다양성과 습지의 날 기념식 제주에서 개최 전문 용어 설명 (화산쇄설물) 화산 폭발에 의하여 발출된 크고 작은 암편을 말하며 입도에 따라 화산진, 화산재, 화산력, 화산암괴 등으로 분류된다. (라하르) 화산활동에 의해 분출된 화산재가 물과 만나서 일으키는 진흙사태 (카르스트 지형) 석회암 등의 물에 녹기 쉬운 암석으로 구성된 대지가 빗물 등에 의해서 용식되어서 생성된 지형 (돌리네) 카르스트 지형의 일종으로 석회암 지역에서 볼 수 있는 오목한 함몰지, 지표 아래 위치한 석회동굴이 무너져 내리면서 형성 (카렌) 카르스트 지형의 일종으로 석회암 지대가 물에 의해 용식되고 뽀족한 암주나 증 모양으로 남아있는 지형 (하식애) 하천의 침식작용 등으로 인하여 생긴 절벽
1212364_1||'이달의 과학기술자상' 6월 수상자 전북대 이중희 교수 선정 - 나노복합재료의 친환경 제조기술 개발 - □ 이 교수는 최근 3년 동안에 67편의 SCI 논문을 발표하였고, 이중 상위 10% 학술지에 44편의 논문을 게재한 바 있다.  o 특히 복합재료 분야에서 권위를 인정받는 인용지수※ 5.0 이상인 저널 Progress in Polymer Science, Journal of Materials Chemistry, Carbon, Progress in Materials Science 등에 20편 이상의 논문을 게재하였으며, 논문 인용 횟수가 최근 3년 동안 1,201회에 달하고 있어 학문적 영향력을 인정받고 있다.  ※ 인용지수: 해당 논문집의 최근 2년 동안 인용된 횟수를 동 기간 동안에 출간된 전체 논문의 수로 나눈 값을 말함 □ 이 교수는 또한, ‘높은 가스 차단성을 가지는 고분자 나노복합재료’를 개발하여 수소 저장탱크에 최초로 적용하고, ‘참숯 폴리머 제조기술’을 김치냉장고 용기 제조에 활용하는 등 자체 개발기술의 상용화에서도 그 업적을 인정받았다. o 이 교수는 “앞으로 산업에 파급효과가 클 3차원 그래핀을 이용한 다기능성 소재에 대한 연구에 매진하여 수년 내 세계적인 성과를 내도록 노력할 것”이라고 말하면서, “신기술 융합형 성장동력사업인「자기냉각 액화물질 융합연구단」의 지원에 감사하다”라고 수상소감을 밝혔다. □ 이달의 과학기술자상은 산‧연‧학에 종사하는 연구개발 인력 중 우수한 연구개발 성과로 과학기술 발전에 공헌한 사람을 발굴·포상하여 과학기술자의 사기진작 및 대국민 과학기술 마인드를 확산하고자 1997년 4월부터 시상해오고 있으며, 매월 1명씩 선정하여 미래창조과학부 장관상 및 상금을 수여하고 있다.
1214100||오팔 보석 구조 모방 분리막을 이용한 리튬전지 출력 3배 향상 1. 연구결과 개요 3. 기대효과 ○ 기존 리튬이차전지 성능 및 안전성 향상에 큰 기술적 장애물이었던 폴리올레핀 분리막을, 자연계 현상에서 아이디어를 얻어 나노 및 고분자 기술 접목을 통해 개발한 신규 분리막으로 대체함으로써, 기존 전지 대비 현저히 개선된 성능 및 안전성을 구현하였으며, 이를 통해 전기자동차용 전지를 포함한 차세대 전지 개발의 새로운 기술적 토대를 제공하였다. ○ 간단한 코팅 및 자외선 가교 공정 등을 이용하여 분리막을 제조하였으며, 이는 향후 상업화가 용이한 공정으로 고려될 수 있다. ○ 리튬이차전지 전지 이외에도 다양한 차세대 전지에 확대 적용될 수 있는 분리막 원천 소재 기술을 확보하였다.
1214100_3||오팔 보석 구조 모방 분리막을 이용한 리튬전지 출력 3배 향상 □ 현재 모바일 전원 등으로 널리 쓰이는 리튬이차전지는 시트(sheet)형태의 양극, 음극 및 전해액 이외에, 미세 기공을 가진 필름인 분리막(separator membranes)으로 구성되는데, 이 분리막은 두 전극이 서로 닿지 못하도록 격리시키는 동시에 분리막 내부 다공 구조에 채워진 전해액을 통해 리튬이온이 양극-음극 사이를 이동해 충전과 방전을 가능하게 하는 중요한 역할을 한다. o 지금까지 분리막 소재로 폴리에틸렌 혹은 폴리프로필렌 등이 많이 쓰였으나, 낮은 기공도와 불균일한 기공 구조로 인해 전기자동차용전지와 같은 차세대 전지에서 요구되는 고출력, 고속 충전 등의 특성을 확보하기에는 어려움이 있었다. 또한 전지 온도 상승시 분리막 열 수축에 의해 양극과 음극이 맞닿게 되어 폭발이나 발화의 우려도 존재하였다.
1312640_0||중국‧이스라엘과 고압‧재생의학 분야 공동연구센터 첫 개소 - 해외우수연구기관 유치사업을 통해 2022년까지 협력시너지로 미개척 연구분야 선도 및 세계 기술시장 선점 추진  □ 미래창조과학부(장관 최양희, 이하 ‘미래부’)는 2016년도 해외우수연구기관 유치사업(GRDC사업 : Global R&D Center, 이하 ‘GRDC 사업’)을 통해 ‘한양대 -HPSTAR-카네기 고압연구센터’(이하 고압연구센터)와, ‘순천향-와이즈만 조직재생 연구센터’(이하 조직재생연구센터)가 26일과 27일에 각각 개소하였다고 밝혔다. o GRDC 사업을 통한 중국, 이스라엘과의 연구협력은 금번이 처음으로, 고압연구센터는 한양대학교와 중국의 북경고압연구센터(HPSTAR) 및 미국의 카네기연구소(CIS)가, 조직재생연구센터는 순천향대학교와 이스라엘의 와이즈만 연구소(WIS)가 공동 연구기관으로 참여한다. □ GRDC 사업은 글로벌 수준의 해외우수연구기관과 국내 연구기관의 공동연구센터 국내 설치와 상호 인력교류 등을 통한 연구협력을 지원하는 사업으로, 해외 과학기술자원 유입의 활성화와 우수 기술 확보를 목표로 현재 19개 국내 연구기관이 해외 우수기관과 함께 공동연구를 진행 중이다. o 특히, 지난 7월에는 ‘서강-하버드 질병 바이오물리 연구센터’가 세계 최초로 ‘전기없이 움직이는 바이오 하이브리드 로봇 기술’을 개발하여 관련성과가 사이언스(Science)지(紙) 표지 논문으로 게재되는 등 기관 간 강점을 결합한 우수 연구성과가 활발히 도출되고 있다.
1296446||한-미, AI기반 사이버보안기술 공동 개발 추진- 양국간 사이버보안 협력에 관한 공동성명서 채택 - □ 양국이 공동 연구개발을 추진하는 분야는 최근 주목받고 있는 ‘인공지능(AI)’를 활용해 사이버공간의 위협을 탐지‧분석‧예방하는 최신기술 분야로 세부적인 주제는 향후 양국 협의를 통해 구체화하게 된다. ㅇ 인공지능 관련 기술은 고도화된 기계학습 알고리즘 개발과 다양한 데이터의 확보가 핵심 성공 요인으로, 세계 최고의 기술력을 가진 미국과 고도화된 정보통신(ICT) 인프라를 바탕으로 다양한 사이버사고 대응 경험과 지식을 가진 우리나라의 협업을 통해 글로벌 선도 기술을 개발할 수 있을 것으로 기대된다. ※ 공동연구 예산은 양국이 1:1로 출연하며, 양국 연구기관이 공동 참여 □ 양국은 이번 협의를 통해 공동 연구개발(R&D) 외에도 사이버위협정보 공유 및 민간 협력 기회 마련 등 양국간 협력 촉진 방안을 협의하였다. ㅇ 양국은 글로벌 사이버위협에 효과적으로 대응하기 위해 각국이 보유한 민감하고 독점적인 정보를 적절히 공유하는 것이 바람직하다는데 인식을 같이하고 향후 정보 확대 방안을 구체화하기로 논의하였으며, ㅇ 보다 나은 사이버보안 실현을 위해 산업계의 역할이 중요하다는데 인식을 같이하고 양국간 민간 협력프로젝트 기획 및 민‧관 참여 컨퍼런스 등을 정례적으로 운영하는 방안에 대해 협의하였다.
1276757_1||디지털콘텐츠 신기술 및 공정거래 콘퍼런스 잇따라 개최 □ 한편, 대기업·중소기업간 올바른 공정거래 해법을 찾기 위한 ‘2015년 디지털콘텐츠 공정거래 컨퍼런스’에서는, ㅇ 디지털콘텐츠 유통 실태 및 디지털콘텐츠상생협력 지원센터에 접수된 법률자문 사례를 통해 제기된 공정거래 이슈를 다룰 예정이다. ㅇ 이어, 공정거래 전문가인 법무법인 수호 이영대 변호사가 좌장을 맡고 미래부, 공정거래조정원, 콘텐츠분쟁조정위원회, 디지털콘텐츠 상생협력지원센터 등 관계 전문가가 패널로 참석하여 “유통 다변화에 따른 디지털콘텐츠 공정거래 해법은?”을 주제로 심도 있는 패널 토의를 진행할 계획이다. □ 미래창조과학부 *** 디지털콘텐츠과장은 이번 콘퍼런스와 관련하여, “스마트 디바이스와 콘텐츠의 접목으로 융․복합화 하는 디지털콘텐츠 산업 환경을 고려하여, 업계 관계자들과 다양한 정보를 공유하고 정책 대안을 마련할 수 있는 공론의 장을 자주 마련하겠다.” 라고 말했다.
1212468||나노기술을 이용한 비주사형 점막백신 기술 개발 - 감염성 질환의 항바이러스 백신 효능을 극대화 - 용어설명 1. Angewandte Chemie 誌 ○ 응용화학 연구 분야에서 최고의 권위를 인정받고 있는 대표과학전문지. 전 과학 분야에서 상위 1.1% 이내에 랭크되는 학술지로, 융합(Multidisciplinary)분야에서 4.6%(7위/152개) 이내에 든다. (피인용지수: 13.455) 2. 백신 (Vaccine) ○ 생체 면역기능을 유발하는 항원을 포함한 생물학적 제제로서, 감염증을 예방하기 위해 생체에 투여하여 그 감염증에 저항, 면역성이 생기게 하는 의약품을 말한다.
1299220||“민ᆞ관의 힘을 모아 창조경제 핵심성과를 본격 창출하겠습니다.” - 제7차 창조경제 민관협의회 개최 - 안건 요약 ②호 안건 창조경제혁신센터 지원상품 판로확대 방안 【판로개척 지원 주요내용】  (공동발굴 강화) 혁신센터간 협업을 통한 발굴, 인증제 내실화, 크라우드 펀딩 성공사례 창출 등 우수상품 발굴기회 극대화 ㅇ 공동소싱박람회(1회: 부산 Bexco, 6.6~8일) 개최를 정례화(年 2회)하고 분기별 인증상품 선정으로 상품 수 확대(2015→2016년: 8→50개) ㅇ 센터순회 설명회, 판로지원 사업과 연계 등으로 크라우드 펀딩 활성화를 통한 대박사례 창출 노력 강화  (국내판로 다양화) 오프라인 판매를 통해 상품 체험기회와 인지도를 높이고 온라인으로 매출 향상 지원 ㅇ 제품특성별 전담기업 유통망 매칭, 조달시장과 지역 틈새시장 진출, 신규면세점 및 中企 판매점 공동입점 등 오프라인 확대 ㅇ 공영홈쇼핑 방송판매 및 시판前 사전광고 확대, 전담기업 쇼핑몰 입점, 모바일 관광지원으로 온라인 매출 지원  (해외판로 개척) 한류연계 진출, 해외박람회 참여로 바이어와 접점을 넓히고 글로벌 로드쇼 동반 참여로 노하우 공유 ㅇ KCON, MAMA 개최시 한류연계 수출상담회를 병행하고 창조경제 글로벌 로드쇼(7월) 및 전담기업 해외채널 활용 ㅇ 해외박람회 참가조건을 완화하고 KOTRA 등 지원기관 사업(예: buy KOREA)과 연계하여 해외 B2B 판매 확대  (홍보 강화) 온․오프라인 이벤트 개최, 방송 활용, 사례집 발간 등 다양한 매체를 통한 홍보 강화 ㅇ 홈페이지를 통한 상품 홍보, 마케팅 경진대회 개최 등으로 인지도를 높이고 다큐․창업경진대회 방송을 제작․방영 ㅇ 성과사례집(반기)․e-뉴스레터 발간(월간), 전시관 확대 병행
3180378_6||임혜숙 과기정통부 장관, 기술창업에 도전한 청년을 격려하고 전폭적 지원 약속 -‘한국형 공공기술기반 시장연계 창업탐색 지원사업(아이코어)’선발창업팀 발대식, 실험실 창업기업 등 방문 - 2 실험실 창업기업 현장방문 □ 다음으로, 임혜숙 장관은 ’한국형 아이코어‘에 참여한 이후 실험실 창업에 성공한 청년 창업기업 ㈜딥메드(대표: ***)를 방문하였다. ㅇ ㈜딥메드는 치료 가능한 치매(정상압 수두증)를 높은 신뢰도로 감별하여 의사의 임상진단을 돕는 인공지능 기반 스마트 치매 진단·모니터링 솔루션 기업으로, ㅇ 2020년 ‘한국형 아이코어’을 통해 창업탐색교육을 이수하고 시제품 제작을 지원받아 실험실의 원천 기술을 사업화하는데 성공하였다. □ ㈜딥메드의 김영탁 대표는 “아이코어 프로그램을 통해 비즈니스의 기초부터 시제품 제작까지 많은 것을 배울 수 있었다”면서, ㅇ “창업에 뜻이 있는 사람이 아이코어와 같은 체계적 지원을 더 많이 받을 수 있으면 좋겠다”고 밝혔다.
